rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Faroe Islands,FRO,97.582,percent of population,2019.0
3,Health,Prevalence of COVID-19,H7_Vaccination policy,Faroe Islands,FRO,534.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Demographics,Secure Internet servers ,H7_Vaccination policy,Faroe Islands,FRO,4991.98816713916,per 1 million people,2019.0
8,Environment,CO2 emissions (kt),H7_Vaccination policy,Faroe Islands,FRO,630.724,kt,2016.0
9,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Faroe Islands,FRO,18021.0,number,2019.0
12,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Faroe Islands,FRO,37.328,per 100 people,2019.0
16,Environment,Renewable energy consumption ,H7_Vaccination policy,Faroe Islands,FRO,7.51358049162428,percent of total final energy consumption,2015.0
34,Health,Mortality due to COVID-19,H7_Vaccination policy,Faroe Islands,FRO,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
36,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,Faroe Islands,FRO,116.474,per 100 people,2019.0
48,Environment,CO2 emissions (metric tons per capita),H7_Vaccination policy,Faroe Islands,FRO,13.09289,metric tons per capita,2016.0
88,Environment,Access to electricity ,H7_Vaccination policy,Faroe Islands,FRO,100.0,percent of population,2018.0
