rank,Category,Indicator,Policy,Country,ISO,value,unit,year
2,Demographics,People using at least basic sanitation services (% of population),C3_Cancel public events,Turks and Caicos Islands,TCA,87.9886363636364,proportion,2017.0
6,Health,Prevalence of COVID-19,C3_Cancel public events,Turks and Caicos Islands,TCA,781.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,Turks and Caicos Islands,TCA,216.353,kt,2016.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Turks and Caicos Islands,TCA,12.0,Cases,2019.0
26,Demographics,Secure Internet servers ,C3_Cancel public events,Turks and Caicos Islands,TCA,759.3412060433087,per 1 million people,2019.0
27,Social issues ,"Intentional homicides (per 100,000 people)",C3_Cancel public events,Turks and Caicos Islands,TCA,5.6543496084,"proportion, pero 100,000 people",2014.0
44,Demographics,Rural population (% of total population),C3_Cancel public events,Turks and Caicos Islands,TCA,6.640000000000001,proportion,2019.0
51,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Turks and Caicos Islands,TCA,5.917914,metric tons per capita,2016.0
55,Environment,Access to electricity ,C3_Cancel public events,Turks and Caicos Islands,TCA,100.0,percent of population,2018.0
62,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Turks and Caicos Islands,TCA,4000.0,number,2019.0
69,Demographics,Urban population (% of total population),C3_Cancel public events,Turks and Caicos Islands,TCA,93.36,total,2019.0
73,Social issues ,"Primary completion rate, total (% of relevant age group)",C3_Cancel public events,Turks and Caicos Islands,TCA,129.401412963867,proportion,2018.0
77,Environment,Renewable energy consumption ,C3_Cancel public events,Turks and Caicos Islands,TCA,0.572166001038355,percent of total final energy consumption,2015.0
79,Health,Mortality due to COVID-19,C3_Cancel public events,Turks and Caicos Islands,TCA,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
97,Demographics,"Population, total",C3_Cancel public events,Turks and Caicos Islands,TCA,38191.0,total,2019.0
113,Demographics,Refugee population by country or territory of asylum,C3_Cancel public events,Turks and Caicos Islands,TCA,5.0,proportion,2019.0
